Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,No_signal,Low_BOI,1128
0.00,0.00,No_signal,Low_BOI,2392
0.00,0.00,No_signal,Low_BOI,32728
0.00,0.00,No_signal,Low_BOI,69128
0.00,0.00,No_signal,Low_BOI,105528
0.00,0.00,No_signal,-1,137768
0.00,0.00,No_signal,-1,170008
0.00,0.00,No_signal,-1,202248
0.00,0.00,No_signal,-1,234488
0.00,0.00,No_signal,-1,266728
0.00,0.00,No_signal,-1,298968
0.00,0.00,No_signal,-1,331208
0.00,0.00,No_signal,-1,363448
0.00,0.00,No_signal,-1,395688
0.00,0.00,No_signal,-1,427928
0.00,0.00,No_signal,-1,460168
0.00,0.00,No_signal,-1,492408
0.00,0.00,No_signal,-1,524648
0.00,0.00,No_signal,-1,556888
0.00,0.00,No_signal,-1,589128
0.00,0.00,No_signal,-1,621368
0.00,0.00,No_signal,-1,653608
0.00,0.00,No_signal,-1,685848
0.00,0.00,No_signal,-1,718088
0.00,0.00,No_signal,-1,750328
0.00,0.00,No_signal,-1,782568
0.00,0.00,No_signal,-1,814808
0.00,0.00,No_signal,-1,847048
0.00,0.00,No_signal,-1,879288
0.00,0.00,No_signal,-1,911528
0.00,0.00,No_signal,-1,943772
0.00,0.00,No_signal,-1,976008
0.00,0.00,No_signal,-1,1008248
0.00,0.00,No_signal,-1,1041528
0.00,0.00,No_signal,-1,1074808
0.00,0.00,No_signal,-1,1108088
0.00,0.00,No_signal,-1,1141368
0.00,0.00,No_signal,-1,1174648
0.00,0.00,No_signal,-1,1207928
0.00,0.00,No_signal,-1,1241208
0.00,0.00,No_signal,-1,1274488
0.00,0.00,No_signal,-1,1307768
0.00,0.00,No_signal,-1,1341048
0.00,0.00,No_signal,-1,1374328
0.00,0.00,No_signal,-1,1407608
0.00,0.00,No_signal,-1,1440888
0.00,0.00,No_signal,-1,1474168
0.00,0.00,No_signal,-1,1507448
0.00,0.00,No_signal,-1,1540728
0.00,0.00,No_signal,-1,1574008
0.00,0.00,No_signal,-1,1607288
0.00,0.00,No_signal,-1,1640568
0.00,0.00,No_signal,-1,1673848
0.00,0.00,No_signal,-1,1707128
0.00,0.00,No_signal,-1,1740408
0.00,0.00,No_signal,-1,1773688
0.00,0.00,No_signal,-1,1806968
0.00,0.00,No_signal,-1,1840248
0.00,0.00,No_signal,-1,1873528
0.00,0.00,No_signal,-1,1906808
0.00,0.00,No_signal,-1,1940088
0.00,0.00,No_signal,-1,1973368
0.00,0.00,No_signal,-1,2006648
0.00,0.00,No_signal,-1,2039928
0.00,0.00,No_signal,-1,2073208
0.00,0.00,No_signal,-1,2106488
0.00,0.00,No_signal,-1,2139768
0.00,0.00,No_signal,-1,2173048
0.00,0.00,No_signal,-1,2206328
0.00,0.00,No_signal,-1,2239608
0.00,0.00,No_signal,-1,2272888
0.00,0.00,No_signal,-1,2306168
0.00,0.00,No_signal,-1,2339448
0.00,0.00,No_signal,-1,2372728
0.00,0.00,No_signal,-1,2406008
0.00,0.00,No_signal,-1,2439288
0.00,0.00,No_signal,-1,2472568
0.00,0.00,No_signal,-1,2505848
0.00,0.00,No_signal,-1,2539128
0.00,0.00,No_signal,-1,2572408
